Time (msec),Engine Speed (rpm),Feedback Knock Correction (4-byte)* (degrees),Mass Airflow Sensor Voltage (V),Innovate Wideband AFR (AFR Gasoline),Engine Load (Calculated) (g/rev),Primary Open Loop Map Enrichment (4-byte)* (estimated AFR),Throttle Opening Angle (%)
15336,3731,0.00,1.82,20.33,0.27,14.70,10.20
15384,3717,0.00,1.76,20.33,0.23,14.70,10.20
15449,3718,0.00,1.82,20.33,0.27,14.70,10.20
15497,3686,0.00,1.82,20.33,0.27,14.70,10.20
15547,3674,0.00,1.82,20.33,0.27,14.70,10.20
15592,3670,0.00,1.84,20.33,0.27,14.70,10.20
15642,3662,0.00,1.82,20.33,0.27,14.70,10.20
15687,3664,0.00,1.80,20.33,0.25,14.70,10.20
15736,3663,0.00,1.84,20.33,0.28,14.70,10.20
15784,3657,0.00,1.82,20.33,0.28,14.70,10.20
15849,3680,0.00,1.86,20.33,0.28,14.70,10.20
15898,3680,0.00,1.78,20.33,0.25,14.70,10.20
15946,3678,0.00,1.82,20.33,0.26,14.70,10.20
15993,3673,0.00,1.84,20.33,0.26,14.70,10.20
16041,3664,0.00,1.78,20.33,0.27,14.70,10.20
16088,3660,0.00,1.86,20.33,0.27,14.70,10.20
16136,3662,0.00,1.82,20.33,0.27,14.70,10.20
16186,3659,0.00,1.84,20.33,0.27,14.70,10.20
16252,3650,0.00,1.80,20.33,0.27,14.70,10.20
16296,3636,0.00,1.82,20.33,0.26,14.70,10.20
16345,3640,0.00,1.84,20.33,0.26,14.70,10.20
16392,3644,0.00,1.86,20.33,0.25,14.70,10.20
16442,3638,0.00,1.86,20.33,0.27,14.70,10.20
16489,3629,0.00,1.86,20.33,0.28,14.70,10.20
16536,3621,0.00,1.82,20.33,0.27,14.70,10.20
16585,3622,0.00,1.78,20.33,0.26,14.70,10.20
16649,3622,0.00,1.82,20.33,0.25,14.70,10.20
16698,3616,0.00,1.84,20.33,0.28,14.70,10.20
16744,3608,0.00,1.82,20.33,0.28,14.70,10.20
16793,3604,0.00,1.84,20.33,0.28,14.70,10.20
16840,3602,0.00,1.82,20.33,0.27,14.70,10.20
16888,3598,0.00,1.82,20.33,0.26,14.70,10.20
16936,3593,0.00,1.78,20.33,0.27,14.70,10.20
16985,3590,0.00,1.78,20.33,0.24,14.70,10.20
17049,3582,0.00,1.82,20.33,0.26,14.70,10.20
17097,3574,0.00,1.78,20.33,0.25,14.70,10.20
17144,3572,0.00,1.84,20.33,0.28,14.70,10.20
17193,3572,0.00,1.78,20.33,0.28,14.70,10.20
17239,3567,0.00,1.82,20.33,0.26,14.70,10.20
17287,3564,0.00,1.78,20.33,0.25,14.70,10.20
17336,3558,0.00,1.80,20.33,0.26,14.70,10.20
